respondent_id,xyz_vaccine,seasonal_vaccine
0,0.3,0.35
1,0.06,0.11
2,0.29,0.72
3,0.55,0.87
4,0.34,0.49
5,0.62,0.8
6,0.43,0.64
7,0.16,0.11
8,0.02,0.1
9,0.24,0.83
10,0.05,0.47
11,0.31,0.7
12,0.17,0.87
13,0.08,0.25
14,0.38,0.5
15,0.06,0.17
16,0.78,0.9
17,0.0,0.71
18,0.03,0.12
19,0.04,0.09
20,0.54,0.83
21,0.26,0.51
22,0.25,0.57
23,0.05,0.13
24,0.05,0.32
25,0.21,0.22
26,0.87,0.91
27,0.7,0.52
28,0.03,0.21
29,0.08,0.16
30,0.17,0.14
31,0.65,0.71
32,0.03,0.15
33,0.26,0.2
34,0.09,0.9
35,0.08,0.33
36,0.02,0.43
37,0.09,0.62
38,0.13,0.8
39,0.23,0.24
40,0.06,0.23
41,0.12,0.1
42,0.1,0.6
43,0.54,0.81
44,0.5,0.67
45,0.07,0.13
46,0.2,0.5
47,0.28,0.59
48,0.11,0.45
49,0.13,0.08
50,0.35,0.52
51,0.45,0.79
52,0.0,0.1
53,0.06,0.1
54,0.37,0.62
55,0.28,0.69
56,0.77,0.9
57,0.79,0.91
58,0.19,0.56
59,0.15,0.2
60,0.73,0.74
61,0.08,0.38
62,0.12,0.28
63,0.18,0.44
64,0.06,0.24
65,0.12,0.45
66,0.12,0.54
67,0.05,0.46
68,0.01,0.39
69,0.39,0.37
70,0.16,0.68
71,0.13,0.11
72,0.26,0.65
73,0.19,0.89
74,0.16,0.4
75,0.07,0.23
76,0.02,0.24
77,0.26,0.79
78,0.42,0.8
79,0.09,0.25
80,0.06,0.49
81,0.07,0.83
82,0.06,0.29
83,0.02,0.15
84,0.01,0.14
85,0.11,0.59
86,0.22,0.96
87,0.52,0.8
88,0.19,0.83
89,0.03,0.05
90,0.32,0.71
91,0.39,0.18
92,0.28,0.46
93,0.13,0.96
94,0.14,0.22
95,0.08,0.21
96,0.06,0.08
97,0.05,0.18
98,0.11,0.24
99,0.06,0.88
100,0.44,0.83
101,0.04,0.31
102,0.42,0.33
103,0.07,0.15
104,0.02,0.06
105,0.29,0.78
106,0.41,0.5
107,0.04,0.74
108,0.0,0.04
109,0.14,0.25
110,0.02,0.49
111,0.23,0.32
112,0.13,0.29
113,0.12,0.17
114,0.07,0.44
115,0.14,0.62
116,0.31,0.52
117,0.01,0.71
118,0.39,0.79
119,0.03,0.83
120,0.05,0.17
121,0.13,0.35
122,0.78,0.88
123,0.04,0.73
124,0.13,0.76
125,0.05,0.87
126,0.1,0.59
127,0.17,0.59
128,0.39,0.86
129,0.32,0.73
130,0.1,0.16
131,0.1,0.51
132,0.13,0.54
133,0.05,0.22
134,0.43,0.59
135,0.04,0.14
136,0.06,0.08
137,0.1,0.36
138,0.05,0.68
139,0.07,0.72
140,0.36,0.22
141,0.07,0.73
142,0.4,0.58
143,0.48,0.67
144,0.03,0.08
145,0.06,0.1
146,0.22,0.41
147,0.01,0.05
148,0.36,0.79
149,0.16,0.11
150,0.43,0.33
151,0.2,0.49
152,0.01,0.1
153,0.24,0.2
154,0.03,0.11
155,0.05,0.26
156,0.17,0.35
157,0.27,0.39
158,0.06,0.06
159,0.04,0.64
160,0.07,0.18
161,0.66,0.75
162,0.02,0.22
163,0.76,0.83
164,0.03,0.05
165,0.16,0.37
166,0.15,0.69
167,0.03,0.09
168,0.33,0.82
169,0.03,0.08
170,0.17,0.19
171,0.15,0.32
172,0.0,0.07
173,0.16,0.14
174,0.03,0.04
175,0.01,0.08
176,0.13,0.3
177,0.17,0.24
178,0.14,0.53
179,0.11,0.83
180,0.6,0.9
181,0.9,0.95
182,0.04,0.18
183,0.22,0.37
184,0.53,0.78
185,0.15,0.65
186,0.03,0.04
187,0.37,0.32
188,0.05,0.71
189,0.04,0.06
190,0.09,0.39
191,0.26,0.56
192,0.0,0.07
193,0.02,0.27
194,0.06,0.49
195,0.14,0.87
196,0.09,0.16
197,0.12,0.39
198,0.31,0.78
199,0.01,0.36
200,0.04,0.54
201,0.1,0.72
202,0.19,0.31
203,0.23,0.43
204,0.06,0.07
205,0.5,0.75
206,0.65,0.87
207,0.01,0.16
208,0.18,0.53
209,0.04,0.16
210,0.1,0.17
211,0.84,0.97
212,0.17,0.58
213,0.01,0.06
214,0.12,0.76
